party_id,country,abbrev,name,name_english,family
97230,Slovenia,NA,Levica,The Left,unknown
97322,Slovenia,SD,Socialni Demokrati,Social Democratic Party,unknown
97330,Slovenia,SDS,Slovenska Demokratska Stranka,Slovenian Democratic Party,unknown
97341,Slovenia,LMŠ,Lista Marjana Šarca,List of Marjan Šarec,unknown
97460,Slovenia,SAB,Stranka Alenke Bratušek,Party of Alenka Bratušek,unknown
97461,Slovenia,SMC,Stranka modernega centra,Modern Centre Party,unknown
97522,Slovenia,Nsi,Nova Slovenija Krščanski Ljudska Stranka,New Slovenian Christian People’s Party,unknown
97710,Slovenia,SNS,Slovenska Nacionalna Stranka,Slovenian National Party,unknown
97951,Slovenia,DeSUS,Demokraticna Stranka Upokojencev Slovenije,Democratic Party of Pensioners of Slovenia,unknown
98340,Ukraine,NA,Opozycijna platforma - Za žittja,Opposition Platform - For Life,unknown
98350,Ukraine,NA,Opozycijnyj blok,Opposition Bloc,unknown
98440,Ukraine,NA,Sluha Narodu,Servant of the People,unknown
98450,Ukraine,NA,Holos,Voice,unknown
98617,Ukraine,NA,Vseukrayins'ke Obyednannya Bat'kivshchyna,All-Ukrainian Union ‘Fatherland',unknown
98631,Ukraine,NA,Yevropeys'ka Solidarnist',European Solidarity,unknown
